=======产品序列号=======                                	 =======产品序名称=======                                	 被引用次数                                             
MC05030091                                         	 白色KT板                                              	 3                                                 
ME07020031                                         	 圆规                                                 	 1                                                 
MC0202DP0161                                       	 贴纸-制作迷你气垫船-Qube贴纸                                  	 1                                                 
MC0203C3011C03                                     	 制作迷你气垫船-Qube卡片                                     	 1                                                 
PPE10A10110001                                     	 玻璃罐带包装带贴纸                                          	 2                                                 
PPC11A50110006                                     	  红豆50颗带包装带贴纸                                       	 4                                                 
PPC11A50110007                                     	 黑豆50带包装带贴纸                                         	 4                                                 
PPC11A50110008                                     	 黄豆50颗带包装带贴纸                                        	 4                                                 
MC02040023                                         	 角色扮演头套                                             	 2                                                 
MC0202DP0162                                       	 贴纸-会吸水的豆豆-Hub贴纸                                    	 1                                                 
MC0203C1021C02                                     	 会吸水的豆豆-Hub卡片                                       	 1                                                 
PPC02D01110002                                     	 角色扮演胸牌带包装带贴纸                                       	 2                                                 
MC0202DP0163                                       	 贴纸-会吸水的豆豆-Qube贴纸                                   	 1                                                 
MC0203C1021C03                                     	 会吸水的豆豆-Qube卡片                                      	 1                                                 
PPE09C01110012                                     	 塑料培养皿带包装带贴纸                                        	 2                                                 
PPC02D04110001                                     	 任务卡片4张带包装带贴纸                                       	 3                                                 
MC0202DP0164                                       	 贴纸-计算思维初探-Hub贴纸                                    	 1                                                 
MC0203C3012C02                                     	 计算思维初探-Hub卡片                                       	 1                                                 
MC05030092                                         	 雪弗板                                                	 2                                                 
PPE05C01010001                                     	 自动喂食机无包装带贴纸                                        	 2                                                 
PPC05C05110002                                     	 有孔雪糕棒5根带包装带贴纸                                      	 2                                                 
PPC05C05110003                                     	 木棒5根带包装带贴纸                                         	 2                                                 
MC05030095                                         	 白板                                                 	 2                                                 
MC0202DP0165                                       	 贴纸-计算思维初探-Qube贴纸                                   	 1                                                 
MC0203C3012C03                                     	 计算思维初探-Qube卡片                                      	 1                                                 
PPC02A05110002                                     	 硫酸纸5张带包装带贴纸                                        	 3                                                 
PPC02D05110001                                     	 七巧板图案带包装带贴纸                                        	 1                                                 
MC0202DP0166                                       	 贴纸-STEM团队素质拓展-Hub贴纸                                	 1                                                 
MC0203C1002C02                                     	 STEM团队素质拓展-Hub卡片                                   	 1                                                 
PPC02D01110001                                     	 任务说明书带包装带贴纸                                        	 1                                                 
PPE07B01110004                                     	 七巧板原包装带贴纸                                          	 1                                                 
MC0202DP0167                                       	 贴纸-STEM团队素质拓展-Qube贴纸                               	 1                                                 
MC0203C1002C03                                     	 STEM团队素质拓展-Qube卡片                                  	 1                                                 
PPE07B05110001                                     	 刷子5把带包装带贴纸                                         	 2                                                 
MC05020009                                         	 3D打印样品                                             	 2                                                 
MC0202DP0168                                       	 贴纸-工程微结构-3D打印-Hub贴纸                                	 1                                                 
MC0203CC2011C02                                    	 工程微结构-3D打印-Hub卡片                                   	 1                                                 
PPE07A01210005                                     	 游标卡尺原包装带贴纸                                         	 2                                                 
ME08020024                                         	 台灯支架                                               	 2                                                 
MC0202DP0169                                       	 贴纸-工程微结构-3D打印-Qube贴纸                               	 1                                                 
MC0203C2011C03                                     	 工程微结构-3D打印-Qube卡片                                  	 1                                                 
ME08020025                                         	 节能灯                                                	 2                                                 
MC0202DE000524                                     	 贴纸-原色圆木棒60*80mm                                    	 1                                                 
MC05030096                                         	 彩色圆木棒                                              	 1                                                 
MC0202DE000525                                     	 贴纸-彩色圆木棒60*80mm                                    	 1                                                 
MC0202DE000527                                     	 贴纸-原色有孔雪糕棒60*80mm                                  	 1                                                 
MC0202DE000526                                     	 贴纸-彩色有孔雪糕棒60*80mm                                  	 1                                                 
MC05030097                                         	 雪糕棒                                                	 1                                                 
MC0202DE000529                                     	 贴纸-发射器60*80mm                                      	 1                                                 
MC0202DE000528                                     	 贴纸-打气筒40*60mm                                      	 1                                                 
MC0202DP0175                                       	 贴纸-梦想建筑师-HUB3-2课程材料包贴纸                             	 1                                                 
MC0203C4009C0202                                   	 梦想建筑师-HUB3-2课程材料包卡片                                	 1                                                 
MC0203C4009C0201                                   	 梦想建筑师-HUB3-1防水测试工具箱卡片                              	 1                                                 
MC0202DP0174                                       	 贴纸-梦想建筑师-HUB3-1防水测试工具箱贴纸                           	 1                                                 
MC0202DE000530                                     	 贴纸-角色扮演胸牌80*60mm                                   	 1                                                 
MC02040022                                         	 角色扮演胸牌                                             	 1                                                 
MC0202DE000531                                     	 贴纸-抗风测试工具包60*80mm                                  	 1                                                 
MC14010034                                         	 风力测试轨道                                             	 1                                                 
MC02040028                                         	 风级表                                                	 1                                                 
ME06010010                                         	 鼓风机                                                	 1                                                 
MC02040029                                         	 鼓风机使用说明书                                           	 1                                                 
ME06020012                                         	 风速计                                                	 1                                                 
ME05010009                                         	 实验室防护眼镜                                            	 2                                                 
PPE05B05110001                                     	 小人模型5个带包装带贴纸                                       	 1                                                 
MC0202DE000555                                     	 贴纸-学生工具包80*60mm                                    	 2                                                 
ME03010023                                         	 UNO扩展板                                             	 1                                                 
MC0202DE000532                                     	 贴纸-UNO扩展板60*80mm                                   	 1                                                 
ME03010024                                         	 2P排线                                               	 4                                                 
MC0202DE000533                                     	 贴纸-2P排线60*40mm                                     	 1                                                 
ME03010025                                         	 3P排线                                               	 4                                                 
MC0202DE000534                                     	 贴纸-3P排线60*40mm                                     	 1                                                 
ME03010026                                         	 4P排线                                               	 3                                                 
MC0202DE000535                                     	 贴纸-4P排线30*40mm                                     	 1                                                 
MC0202DE000536                                     	 贴纸-小车套件-80*60mm                                    	 1                                                 
MC02040027                                         	 小车组装说明书                                            	 1                                                 
MC03030019                                         	 慢速电机                                               	 1                                                 
MC14010031                                         	 小车套件                                               	 1                                                 
MC03040024                                         	 9V电池                                               	 1                                                 
MC0202DE000537                                     	 贴纸-9V电池30*40mm                                     	 1                                                 
MC03040025                                         	 电池盒                                                	 2                                                 
MC0202DE000538                                     	 贴纸-电池盒40*30mm                                      	 1                                                 
ME03010027                                         	 蜂鸣器模块                                              	 1                                                 
MC0202DE000539                                     	 贴纸-蜂鸣器模块40*30mm                                    	 1                                                 
ME03010028                                         	 光敏电阻模块                                             	 1                                                 
MC0202DE000540                                     	 贴纸-光敏电阻模块40*30mm                                   	 1                                                 
ME030100229                                        	 红色LED灯模块                                           	 1                                                 
MC0202DE000541                                     	 贴纸-红色LED灯模块40*30mm                                 	 1                                                 
ME03010030                                         	 黄色LED灯模块                                           	 1                                                 
MC0202DE000542                                     	 贴纸-黄色LED灯模块40*30mm                                 	 1                                                 
ME03010031                                         	 绿色LED灯模块                                           	 1                                                 
MC0202DE000543                                     	 贴纸-绿色LED灯模块40*30mm                                 	 1                                                 
ME03010032                                         	 电位器模块                                              	 1                                                 
MC0202DE000544                                     	 贴纸-电位器模块40*30mm                                    	 1                                                 
MC0202DE000545                                     	 贴纸-十字螺丝刀30*40mm                                    	 1                                                 
MC0202DE000546                                     	 贴纸-实木锥子30*40mm                                     	 1                                                 
MC14010032                                         	 城市模型套件                                             	 1                                                 
MC0202DE000547                                     	 贴纸-城市模型60*80mm                                     	 1                                                 
MC0202DE000548                                     	 贴纸-扩展板接口定义说明60*80mm                                	 1                                                 
MC02040026                                         	 扩展板接口定义说明                                          	 1                                                 
MC0202DE000549                                     	 贴纸-2P排线30*40mm                                     	 1                                                 
MC0202DE000550                                     	 贴纸-3P排线30*40mm                                     	 1                                                 
ME03010033                                         	 显示屏 I2C模块                                          	 3                                                 
MC0202DE000551                                     	 贴纸-显示屏30*40mm                                      	 1                                                 
MC0202DE000552                                     	 贴纸-红外对射传感器30*40mm                                  	 1                                                 
ME05030070                                         	 自动喂食机                                              	 1                                                 
MC0202DE000553                                     	 贴纸-自动喂食机30*40mm横                                   	 1                                                 
MC0202DE000554                                     	 贴纸-小人模型40*60mm                                     	 1                                                 
MC02010031                                         	 硫酸纸                                                	 1                                                 
MC0202DE000556                                     	 贴纸-硫酸纸60*80mm                                      	 1                                                 
PP020002110016                                     	 火箭喷头与垫片带包装带贴纸                                      	 2                                                 
PPC14A01110008                                     	 EVA机翼套组带包装带贴纸                                      	 2                                                 
MC0202DP0171                                       	 贴纸-水火箭的STEM初探-Qube贴纸                               	 1                                                 
MC0203CC2012C03                                    	 水火箭的STEM初探-Qube卡片                                  	 1                                                 
PPE05C05110003                                     	 小旗子5面带包装带贴纸                                        	 2                                                 
PPE06B01110005                                     	 卷尺带包装带贴纸                                           	 2                                                 
PPE06A01010001                                     	 发射器无包装带贴纸                                          	 2                                                 
PPE07A01210006                                     	 便携高压打气筒原包装带贴纸                                      	 2                                                 
PPC08D04110001                                     	 气球4个带包装带贴纸                                         	 2                                                 
PPC03C01110006                                     	 无线姿态传感器带包装带贴纸                                      	 2                                                 
MC0203CC2012C02                                    	 水火箭的STEM初探-Hub卡片                                   	 1                                                 
MC0202DP0170                                       	 贴纸-水火箭的STEM初探-Hub贴纸                                	 1                                                 
PPE03A01110004                                     	 UNO扩展板带包装带贴纸                                       	 1                                                 
PPE03A10110004                                     	 2P排线5根带包装带贴纸                                       	 1                                                 
PPE03A10110005                                     	 3P排线5根带包装带贴纸                                       	 1                                                 
PPE03A01110005                                     	 4P排线带包装带贴纸                                         	 1                                                 
PPC14A01110010                                     	 小车套件带包装带贴纸                                         	 1                                                 
PPE03A01110006                                     	 9V电池带包装带贴纸                                         	 1                                                 
PPE03A01110007                                     	 电池盒带包装带贴纸                                          	 1                                                 
PPE03A01110008                                     	 蜂鸣器模块带包装带贴纸                                        	 1                                                 
PPE03A01110009                                     	 光敏电阻模块带包装带贴纸                                       	 1                                                 
PPE03A02110004                                     	 红色LED灯模块2个带包装带贴纸                                   	 1                                                 
PPE03A02110005                                     	 黄色LED灯模块2个带包装带贴纸                                   	 1                                                 
PPE03A02110006                                     	 绿色LED灯模块2个带包装带贴纸                                   	 1                                                 
PPE03A01110010                                     	 电位器模块带包装带贴纸                                        	 1                                                 
PPE07A01110016                                     	 十字螺丝刀带包装带贴纸                                        	 1                                                 
MC02010013                                         	 白色卡纸                                               	 1                                                 
PPE07A01110017                                     	 实木锥子带包装带贴纸                                         	 1                                                 
PPC14A01110011                                     	 城市模型带包装带贴纸                                         	 1                                                 
PPC02D04110002                                     	 扩展板接口定义说明4张带包装带贴纸                                  	 1                                                 
MC0203C3005102                                     	 无所不能的Arduino-Hub卡片                                 	 1                                                 
MC0202DP0172                                       	 贴纸-无所不能的Arduino-Hub贴纸                              	 1                                                 
MC14010033                                         	 Arduino简约版开发套件                                     	 2                                                 
MC0203C3005103                                     	 无所不能的Arduino-Qube卡片                                	 2                                                 
MC0202DP0173                                       	 贴纸-无所不能的Arduino-Qube贴纸                             	 2                                                 
PPC14A01110009                                     	 抗风测试工具包带包装带贴纸                                      	 1                                                 
PPC14A01110012                                     	 学生工具包带包装带贴纸                                        	 1                                                 
MC0202DP0182                                       	 贴纸-梦想建筑师-Qube5-5课程材料包贴纸                            	 1                                                 
MC0203C4009C0305                                   	 梦想建筑师-Qube5-5课程工具包卡片                               	 1                                                 
PTC4009C021001                                     	 梦想建筑师教师工具箱HUB3-1防水测试工具箱                            	 1                                                 
PTC4009C021002                                     	 梦想建筑师教师工具箱HUB3-2材料包                                	 1                                                 
PTC4009C021003                                     	 梦想建筑师教师工具箱Hub3-3工具箱                                	 1                                                 
PTC4009C031001                                     	 梦想建筑师学生工具箱Qube5-1课程材料包                             	 1                                                 
PTC4009C031002                                     	 梦想建筑师学生工具箱Qube5-2课程材料包                             	 1                                                 
PTC4009C031003                                     	 梦想建筑师学生工具箱Qube5-3课程材料包                             	 1                                                 
PTC4009C031004                                     	 梦想建筑师学生工具箱Qube5-4课程材料包                             	 1                                                 
PTC4009C031005                                     	 梦想建筑师学生工具箱Qube5-5课程工具包                             	 1                                                 
MC0202DP0183                                       	 贴纸-我们去放风筝吧-Hub贴纸                                   	 1                                                 
MC0203C2029C02                                     	 我们去放风筝吧-Hub卡片                                      	 1                                                 
MC14010035                                         	 三角形风筝套件                                            	 1                                                 
MC14010036                                         	 菱形风筝套件                                             	 1                                                 
MC14030001 此序列号的产品，在产品清单中找不到
MC0202DP0184                                       	 贴纸-我们去放风筝吧-Qube贴纸                                  	 1                                                 
MC0203C2029C03                                     	 我们去放风筝吧-Qube卡片                                     	 1                                                 
ME03040017                                         	 面包板                                                	 1                                                 
MC0202DE000558                                     	 贴纸-面包板60*40mm                                      	 1                                                 
MC0202DE000559                                     	 贴纸-显示屏驱动模块40*60mm                                  	 1                                                 
ME03040018                                         	 显示屏驱动模块                                            	 1                                                 
MC0202DE000560                                     	 贴纸-鳄鱼夹60*80mm                                      	 1                                                 
ME03040019                                         	 鳄鱼夹                                                	 1                                                 
MC0202DE000557                                     	 贴纸-红色LED灯贴片60*40mm                                 	 1                                                 
PPE03A00110001                                     	 红色LED灯贴片100个带包装带贴纸                                 	 2                                                 
MC0202DP0185                                       	 贴纸-DIY电子显示屏-Hub贴纸                                  	 1                                                 
MC0203C4001C02                                     	 DIY电子显示屏-Hub卡片                                     	 1                                                 
PPE03D01210003                                     	 面包板原包装带贴纸                                          	 1                                                 
PPE03D01110002                                     	 显示屏驱动模块带包装带贴纸                                      	 1                                                 
MC07010040                                         	 透明胶带                                               	 1                                                 
PPE03D01110003                                     	 鳄鱼夹10根带包装带贴纸                                       	 1                                                 
MC0202DP0186                                       	 贴纸-DIY电子显示屏-Qube贴纸                                 	 1                                                 
MC0203C4001C03                                     	 DIY电子显示屏-Qube卡片                                    	 1                                                 
ME03010034                                         	 发光二极管                                              	 1                                                 
MC0202DE000561                                     	 贴纸-发光二极管30*40mm                                    	 1                                                 
ME03010035                                         	 贴片红色LED灯                                           	 1                                                 
MC0202DE000562                                     	 贴纸-贴片红色LED60*40mm                                  	 1                                                 
MC0202DE000563                                     	 贴纸-扎带40*60mm                                       	 1                                                 
MC05030099                                         	 绕线圈工具                                              	 1                                                 
MC0202DE000564                                     	 贴纸-绕线圈工具30*40mm                                    	 1                                                 
MC0202DE000566                                     	 贴纸-发光二极管40*30mm                                    	 1                                                 
MC0202DE000567                                     	 贴纸-铝箔纸80*60mm                                      	 1                                                 
MC0202DE000117                                     	 贴纸-泡沫块热敏贴纸                                         	 1                                                 
MC02010032                                         	 投石机纸质盒                                             	 1                                                 
MC0203U4001C02                                     	 超能机械手-Hub卡片                                        	 1                                                 
MC0202DP0187                                       	 贴纸-超能机械手-Hub贴纸                                     	 1                                                 
PPC05C10110006                                     	 注射器10个带包装带贴纸                                       	 6                                                 
MC0203U4001C03                                     	 超能机械手-Qube卡片                                       	 1                                                 
MC0202DP0188                                       	 贴纸-超能机械手-Qube贴纸                                    	 1                                                 
PPC02A02110003                                     	 不干胶手掌2张带包装带贴纸                                      	 2                                                 
MC0203U4002C02                                     	 显示屏的Yoga-Hub卡片                                     	 1                                                 
MC0202DP0189                                       	 贴纸-显示屏的Yoga-Hub贴纸                                  	 1                                                 
MC0203U4002C03                                     	 显示屏的Yoga-Qube卡片                                    	 1                                                 
MC0202DP0190                                       	 贴纸-显示屏的Yoga-Qube贴纸                                 	 1                                                 
MC0203U2001C02                                     	 冲破天际线-Hub卡片                                        	 1                                                 
MC0202DP0191                                       	 贴纸-冲破天际线-Hub贴纸                                     	 1                                                 
MC0203U2001C03                                     	 冲破天际线-Qube卡片                                       	 1                                                 
MC0202DP0192                                       	 贴纸-冲破天际线-Qube贴纸                                    	 1                                                 
MC0203U4003C02                                     	 取脂精华-探秘古法制皂-Hub卡片                                  	 1                                                 
MC0202DP0193                                       	 贴纸-取脂精华-探秘古法制皂-Hub贴纸                               	 1                                                 
MC0203U4003C03                                     	 取脂精华-探秘古法制皂-Qube卡片                                 	 1                                                 
MC0202DP0194                                       	 贴纸-取脂精华-探秘古法制皂-Qube贴纸                              	 1                                                 
MC0203U4004C02                                     	 拯救夏天-冰箱DIY-Hub卡片                                   	 1                                                 
MC0202DP0195                                       	 贴纸-拯救夏天-冰箱DIY-Hub贴纸                                	 1                                                 
MC0203U4004C03                                     	 拯救夏天-冰箱DIY-Qube卡片                                  	 1                                                 
MC0202DP0196                                       	 贴纸-拯救夏天-冰箱DIY-Qube贴纸                               	 1                                                 
MC0203U2002C02                                     	 弯弯的彩虹桥-Hub卡片                                       	 1                                                 
MC0202DP0197                                       	 贴纸-弯弯的彩虹桥-Hub贴纸                                    	 1                                                 
MC0203U2002C03                                     	 弯弯的彩虹桥-Qube卡片                                      	 1                                                 
MC0202DP0198                                       	 贴纸-弯弯的彩虹桥-Qube贴纸                                   	 1                                                 
MC0203U2003C02                                     	 音乐跳跳堂-Hub卡片                                        	 1                                                 
MC0202DP0199                                       	 贴纸-音乐跳跳堂-Hub贴纸                                     	 1                                                 
MC0203U2003C03                                     	 音乐跳跳堂-Qube卡片                                       	 1                                                 
MC0202DP0200                                       	 贴纸-音乐跳跳堂-Qube贴纸                                    	 1                                                 
MC0203U2004C02                                     	 红掌拨清波-Hub卡片                                        	 1                                                 
MC0202DP0201                                       	 贴纸-红掌拨清波-Hub贴纸                                     	 1                                                 
MC0203U2004C03                                     	 红掌拨清波-Qube卡片                                       	 1                                                 
MC0202DP0202                                       	 贴纸-红掌拨清波-Qube贴纸                                    	 1                                                 
MC0203U2005C02                                     	 奔跑吧！磁力火车-Hub卡片                                     	 1                                                 
MC0202DP0203                                       	 贴纸-奔跑吧！磁力火车-Hub贴纸                                  	 1                                                 
MC0203U2005C03                                     	 奔跑吧！磁力火车-Qube卡片                                    	 1                                                 
MC0202DP0204                                       	 贴纸-奔跑吧！磁力火车-Qube贴纸                                 	 1                                                 
MC0202DP0205                                       	 贴纸-水火箭新解-工程方法与建模-Hub贴纸                             	 1                                                 
MC0203U2006C02                                     	 水火箭新解-工程方法与建模-Hub卡片                                	 1                                                 
MC0203U2006C03                                     	 水火箭新解-工程方法与建模-Qube卡片                               	 1                                                 
MC0202DP0206                                       	 贴纸-水火箭新解-工程方法与建模-Qube贴纸                            	 1                                                 
MC0203U2007C02                                     	 旋转的空间-结构设计与3D打印-Hub卡片                              	 1                                                 
MC0202DP0207                                       	 贴纸-旋转的空间-构设计与3D打印-Hub贴纸                            	 1                                                 
MC0203U2007C03                                     	 旋转的空间-结构设计与3D打印-Qube卡片                             	 1                                                 
MC0202DP0208                                       	 贴纸-旋转的空间-结构设计与3D打印-Qube贴纸                          	 1                                                 
MC0203U2008C02                                     	 彩虹棒棒糖-Hub卡片                                        	 1                                                 
MC0202DP0209                                       	 贴纸-彩虹棒棒糖-Hub贴纸                                     	 2                                                 
ME01020016                                         	 长柄汤勺                                               	 3                                                 
MC0203U2008C03                                     	 彩虹棒棒糖-Qube卡片                                       	 1                                                 
MC0202DP0210                                       	 贴纸-彩虹棒棒糖-Qube贴纸                                    	 2                                                 
MC0203U3001C02                                     	 叶脉博物馆-Hub卡片                                        	 1                                                 
MC0202DP0211                                       	 贴纸-叶脉博物馆-Hub贴纸                                     	 1                                                 
MC0203U3001C03                                     	 叶脉博物馆-Qube卡片                                       	 1                                                 
MC0202DP0212                                       	 贴纸-叶脉博物馆-Qube贴纸                                    	 1                                                 
MC0203U3002C02                                     	 VR看世界-Hub卡片                                        	 1                                                 
MC0202DP0213                                       	 贴纸-VR看世界-Hub贴纸                                     	 1                                                 
PPC05B02100002                                     	 凸透镜焦距3.5mm2个带包装无贴纸                                 	 1                                                 
PPC05B02100003                                     	 凸透镜焦距1.5mm2个带包装无贴纸                                 	 1                                                 
MC0203U3002C03                                     	 VR看世界-Qube卡片                                       	 1                                                 
MC0202DP0214                                       	 贴纸-VR看世界-Qube贴纸                                    	 1                                                 
MC0203U1001C02                                     	 窗边的小豆豆-Hub卡片                                       	 1                                                 
MC0202DP0215                                       	 贴纸-窗边的小豆豆-Hub贴纸                                    	 1                                                 
MC0203U1001C03                                     	 窗边的小豆豆-Qube卡片                                      	 1                                                 
MC0202DP0216                                       	 贴纸-窗边的小豆豆-Qube贴纸                                   	 1                                                 
MC0203U3003C02                                     	 问题我解决-计算思维-Hub卡片                                   	 1                                                 
MC0202DP0217                                       	 贴纸-问题我解决-计算思维-Hub贴纸                                	 1                                                 
MC0203U3003C03                                     	 问题我解决-计算思维-Qube卡片                                  	 1                                                 
MC0202DP0218                                       	 贴纸-问题我解决-计算思维-Qube贴纸                               	 1                                                 
MC0203U1002C02                                     	 豆豆历险记-Hub卡片                                        	 1                                                 
